feature_set,model,fold,n_train,n_test,n_train_references,n_test_references,inner_best_r2,r2,rmse,mae
combined,GradientBoosting,3,122,19,40,2,0.3585203983902761,0.6912662593516086,98.78937584807998,60.78320839227427
combined,GradientBoosting,4,127,14,38,4,0.5971346978372223,0.23424356651015021,84.36218969127584,69.39626148344166
combined,GradientBoosting,5,127,14,38,4,0.5733796863307145,0.9162761494417653,32.19678300640956,19.29076870213146
combined,GradientBoosting,6,127,14,37,5,0.5610331254801867,0.6509849874934848,76.29000741533449,50.53909624492735
combined,GradientBoosting,7,127,14,38,4,0.8061774825060801,0.10745869062405378,224.34203341826375,141.1307332965423
combined,GradientBoosting,8,128,13,38,4,0.5948312758856594,0.7631503832840764,66.74925939770104,51.67431441216109
combined,GradientBoosting,9,129,12,38,4,0.5486408760841079,0.9700274365793411,25.067351002004482,21.268847327898374
combined,GradientBoosting,10,129,12,38,4,0.5426581422815916,0.34892161816273903,87.90170002607974,78.18367116589634
combined,SVR,1,126,15,37,5,0.5717128195428048,-0.6261150213776205,132.3578743100041,89.68619056307857
combined,SVR,2,127,14,36,6,0.567419297104356,0.3840522547483304,122.51101808773448,72.37351894431852
combined,SVR,3,122,19,40,2,0.42670862960498307,0.39494148351208824,138.29831322960183,87.15668773066773
combined,SVR,4,127,14,38,4,0.49190478126437115,-0.7336987887693456,126.9373242557522,111.04651900826924
combined,SVR,5,127,14,38,4,0.4893983855532123,0.9184881378375195,31.768615702303126,16.942487060869595
combined,SVR,6,127,14,37,5,0.4741724409363311,0.8658729938548577,47.29374642329067,28.714135423317938
combined,SVR,7,127,14,38,4,0.6617118634169881,-0.10638769523947689,249.7756844306355,161.93763890901755
combined,SVR,8,128,13,38,4,0.5101711067401783,0.385213483357533,107.5405554651539,53.09074524562048
combined,SVR,9,129,12,38,4,0.4717885044348824,0.9209097709691312,40.72001364859845,30.53742582034141
combined,SVR,10,129,12,38,4,0.5284564394577,-0.06737284601784643,112.54824098406975,97.56443604708029
combined,XGBoost,1,126,15,37,5,0.5523484182696663,0.5831472174001621,67.01399444209582,49.821712239583334
combined,XGBoost,2,127,14,36,6,0.45329598662661574,0.5550031678439743,104.13139194288107,73.60906219482422
combined,XGBoost,3,122,19,40,2,0.3328155167538212,0.3527394450827681,143.04008671278584,101.25639054147821
combined,XGBoost,4,127,14,38,4,0.6086346966288364,0.041770845517558164,94.37070657724487,81.2694535119193
combined,XGBoost,5,127,14,38,4,0.5328736747507196,0.9330389589507707,28.793799900022503,17.48233985900879
combined,XGBoost,6,127,14,37,5,0.4931376050553483,0.7161573308975007,68.79936725935521,47.339516448974614
combined,XGBoost,7,127,14,38,4,0.8155832769329896,0.1608159686745667,217.53297268820506,134.42778778076172
combined,XGBoost,8,128,13,38,4,0.594577962286576,0.7067624424940994,74.27110836244168,58.896360837496246
combined,XGBoost,9,129,12,38,4,0.5270105831217876,0.9687289735675075,25.604574709969896,17.241162300109863
combined,XGBoost,10,129,12,38,4,0.5114352947297538,0.622021314862322,66.97524202783617,57.88031133015951
