TC,H,dS,dS_ref,RC,dX,VEC,δ,dHmix,dSmix,nunfilled_mean,mag_moment_mean,avg_d_valence_electrons,bandgap_mean,melting_point_mean,electronegativity_range
44,2,4.6,10.6174106093595,0,0.2734054704097926,4.220000000000001,13.91083452088716,-33.59200000000001,13.60193582165415,5.15032215032215,0.3579077971909972,1.704577704577705,0.009372634372634372,1323.145631175631,0.7
44,5,9.4,9.4,620,0.2734054704097926,4.220000000000001,13.91083452088716,-33.59200000000001,13.60193582165415,5.15032215032215,0.3579077971909972,1.704577704577705,0.009372634372634372,1323.145631175631,0.7
44,2,4.1,9.463344238776946,0,0.2756719245770233,4.240000000000001,14.0249404892618,-34.70400000000001,13.76456839804731,5.136536,0.3536197225304,1.684155,0.01852108,1327.50497647,0.7
44,5,9.2,9.2,616,0.2756719245770233,4.240000000000001,14.0249404892618,-34.70400000000001,13.76456839804731,5.136536,0.3536197225304,1.684155,0.01852108,1327.50497647,0.7
44,2,4,9.232530964660436,0,0.2862971707858811,4.320000000000001,14.61098900134759,-39.15200000000001,14.25632979205134,5.941748058251942,0.3006740945859054,1.553398446601553,0.02251437548562452,1552.528121721878,0.7
44,5,9,9.0,585,0.2862971707858811,4.320000000000001,14.61098900134759,-39.15200000000001,14.25632979205134,5.941748058251942,0.3006740945859054,1.553398446601553,0.02251437548562452,1552.528121721878,0.7
98,0.5,0.74,6.054591508357336,0,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.04103712794456,6.08855,0.391934341194,1.791789,0,1280.46055753,0.6799999999999999
102,0.5,1.03,8.427336829200076,0,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.04103712794456,6.08855,0.391934341194,1.791789,0,1280.46055753,0.6799999999999999
102,0.5,1.07,8.754612045868042,0,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.04103712794456,6.08855,0.391934341194,1.791789,0,1280.46055753,0.6799999999999999
102,0.5,1.16,9.490981283370958,0,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.04103712794456,6.08855,0.391934341194,1.791789,0,1280.46055753,0.6799999999999999
98,2,2.9,6.693584949378816,0,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.04103712794456,6.08855,0.391934341194,1.791789,0,1280.46055753,0.6799999999999999
102,2,3.95,9.11712432760218,0,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.04103712794456,6.08855,0.391934341194,1.791789,0,1280.46055753,0.6799999999999999
102,2,3.67,8.47084716007595,0,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.04103712794456,6.08855,0.391934341194,1.791789,0,1280.46055753,0.6799999999999999
102,2,3.82,8.817067071250715,0,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.04103712794456,6.08855,0.391934341194,1.791789,0,1280.46055753,0.6799999999999999
99,5,5.94,5.94,573,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.04103712794456,6.08855,0.391934341194,1.791789,0,1280.46055753,0.6799999999999999
102,5,7.65,7.65,681,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.04103712794456,6.08855,0.391934341194,1.791789,0,1280.46055753,0.6799999999999999
102,5,7.28,7.28,703,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.04103712794456,6.08855,0.391934341194,1.791789,0,1280.46055753,0.6799999999999999
